time,rainfall_mm
2024-07-20T00:00,0.0
2024-07-20T01:00,0.0
2024-07-20T02:00,0.2
2024-07-20T03:00,0.5
2024-07-20T04:00,0.5
2024-07-20T05:00,0.2
2024-07-20T06:00,1.0
2024-07-20T07:00,0.3
2024-07-20T08:00,0.1
2024-07-20T09:00,0.3
2024-07-20T10:00,0.1
2024-07-20T11:00,0.2
2024-07-20T12:00,0.5
2024-07-20T13:00,0.7
2024-07-20T14:00,0.4
2024-07-20T15:00,0.4
2024-07-20T16:00,0.3
2024-07-20T17:00,0.1
2024-07-20T18:00,0.3
2024-07-20T19:00,0.1
2024-07-20T20:00,0.0
2024-07-20T21:00,0.0
2024-07-20T22:00,0.0
2024-07-20T23:00,0.1
2024-07-21T00:00,0.1
2024-07-21T01:00,0.1
2024-07-21T02:00,0.6
2024-07-21T03:00,0.8
2024-07-21T04:00,0.2
2024-07-21T05:00,0.1
2024-07-21T06:00,0.1
2024-07-21T07:00,0.1
2024-07-21T08:00,0.1
2024-07-21T09:00,0.3
2024-07-21T10:00,0.3
2024-07-21T11:00,0.3
2024-07-21T12:00,0.5
2024-07-21T13:00,0.7
2024-07-21T14:00,0.6
2024-07-21T15:00,0.8
2024-07-21T16:00,0.6
2024-07-21T17:00,0.2
2024-07-21T18:00,0.2
2024-07-21T19:00,0.1
2024-07-21T20:00,0.1
2024-07-21T21:00,0.0
2024-07-21T22:00,0.0
2024-07-21T23:00,0.0
2024-07-22T00:00,0.0
2024-07-22T01:00,0.0
2024-07-22T02:00,0.0
2024-07-22T03:00,0.0
2024-07-22T04:00,0.0
2024-07-22T05:00,0.0
2024-07-22T06:00,0.0
2024-07-22T07:00,0.1
2024-07-22T08:00,0.1
2024-07-22T09:00,0.0
2024-07-22T10:00,0.4
2024-07-22T11:00,0.2
2024-07-22T12:00,0.4
2024-07-22T13:00,0.1
2024-07-22T14:00,0.2
2024-07-22T15:00,0.1
2024-07-22T16:00,0.1
2024-07-22T17:00,0.3
2024-07-22T18:00,0.2
2024-07-22T19:00,0.1
2024-07-22T20:00,0.0
2024-07-22T21:00,0.0
2024-07-22T22:00,0.0
2024-07-22T23:00,0.0
2024-07-23T00:00,0.1
2024-07-23T01:00,0.1
2024-07-23T02:00,0.1
2024-07-23T03:00,0.1
2024-07-23T04:00,0.0
2024-07-23T05:00,0.1
2024-07-23T06:00,0.0
2024-07-23T07:00,0.1
2024-07-23T08:00,0.2
2024-07-23T09:00,0.4
2024-07-23T10:00,0.3
2024-07-23T11:00,0.5
2024-07-23T12:00,0.8
2024-07-23T13:00,0.6
2024-07-23T14:00,1.0
2024-07-23T15:00,0.5
2024-07-23T16:00,0.8
2024-07-23T17:00,0.5
2024-07-23T18:00,0.2
2024-07-23T19:00,0.4
2024-07-23T20:00,0.3
2024-07-23T21:00,0.1
2024-07-23T22:00,0.1
2024-07-23T23:00,0.1
2024-07-24T00:00,0.1
2024-07-24T01:00,0.2
2024-07-24T02:00,0.2
2024-07-24T03:00,0.3
2024-07-24T04:00,0.2
2024-07-24T05:00,1.0
2024-07-24T06:00,0.1
2024-07-24T07:00,0.0
2024-07-24T08:00,0.2
2024-07-24T09:00,0.4
2024-07-24T10:00,1.0
2024-07-24T11:00,0.6
2024-07-24T12:00,0.9
2024-07-24T13:00,0.8
2024-07-24T14:00,0.4
2024-07-24T15:00,0.6
2024-07-24T16:00,0.3
2024-07-24T17:00,0.2
2024-07-24T18:00,0.1
2024-07-24T19:00,0.1
2024-07-24T20:00,0.1
2024-07-24T21:00,0.1
2024-07-24T22:00,0.1
2024-07-24T23:00,0.0
2024-07-25T00:00,1.0
2024-07-25T01:00,0.9
2024-07-25T02:00,2.1
2024-07-25T03:00,0.6
2024-07-25T04:00,0.0
2024-07-25T05:00,2.0
2024-07-25T06:00,0.9
2024-07-25T07:00,0.7
2024-07-25T08:00,0.3
2024-07-25T09:00,0.2
2024-07-25T10:00,0.3
2024-07-25T11:00,0.1
2024-07-25T12:00,0.7
2024-07-25T13:00,0.3
2024-07-25T14:00,1.0
2024-07-25T15:00,1.3
2024-07-25T16:00,0.9
2024-07-25T17:00,1.0
2024-07-25T18:00,0.4
2024-07-25T19:00,0.5
2024-07-25T20:00,1.0
2024-07-25T21:00,1.6
2024-07-25T22:00,0.7
2024-07-25T23:00,1.0
2024-07-26T00:00,0.8
2024-07-26T01:00,1.0
2024-07-26T02:00,1.9
2024-07-26T03:00,0.7
2024-07-26T04:00,0.5
2024-07-26T05:00,0.6
2024-07-26T06:00,0.5
2024-07-26T07:00,0.4
2024-07-26T08:00,0.4
2024-07-26T09:00,0.3
2024-07-26T10:00,0.4
2024-07-26T11:00,0.8
2024-07-26T12:00,1.0
2024-07-26T13:00,1.1
2024-07-26T14:00,1.0
2024-07-26T15:00,0.3
2024-07-26T16:00,0.5
2024-07-26T17:00,0.2
2024-07-26T18:00,0.2
2024-07-26T19:00,0.1
2024-07-26T20:00,0.1
2024-07-26T21:00,0.2
2024-07-26T22:00,0.2
2024-07-26T23:00,0.1
2024-07-27T00:00,0.0
2024-07-27T01:00,0.2
2024-07-27T02:00,0.2
2024-07-27T03:00,0.5
2024-07-27T04:00,0.4
2024-07-27T05:00,0.3
2024-07-27T06:00,0.3
2024-07-27T07:00,0.2
2024-07-27T08:00,0.2
2024-07-27T09:00,0.3
2024-07-27T10:00,0.2
2024-07-27T11:00,0.3
2024-07-27T12:00,0.3
2024-07-27T13:00,0.5
2024-07-27T14:00,0.8
2024-07-27T15:00,0.5
2024-07-27T16:00,0.1
2024-07-27T17:00,0.0
2024-07-27T18:00,0.0
2024-07-27T19:00,0.0
2024-07-27T20:00,0.0
2024-07-27T21:00,0.0
2024-07-27T22:00,0.0
2024-07-27T23:00,0.0
2024-07-28T00:00,0.1
2024-07-28T01:00,0.1
2024-07-28T02:00,0.1
2024-07-28T03:00,0.1
2024-07-28T04:00,0.0
2024-07-28T05:00,0.0
2024-07-28T06:00,0.0
2024-07-28T07:00,0.0
2024-07-28T08:00,0.1
2024-07-28T09:00,0.2
2024-07-28T10:00,0.4
2024-07-28T11:00,0.5
2024-07-28T12:00,0.4
2024-07-28T13:00,0.5
2024-07-28T14:00,0.6
2024-07-28T15:00,0.4
2024-07-28T16:00,0.4
2024-07-28T17:00,0.4
2024-07-28T18:00,0.2
2024-07-28T19:00,0.1
2024-07-28T20:00,0.2
2024-07-28T21:00,0.1
2024-07-28T22:00,0.1
2024-07-28T23:00,0.2
2024-07-29T00:00,0.1
2024-07-29T01:00,0.2
2024-07-29T02:00,0.1
2024-07-29T03:00,0.1
2024-07-29T04:00,0.1
2024-07-29T05:00,0.2
2024-07-29T06:00,0.1
2024-07-29T07:00,0.1
2024-07-29T08:00,0.0
2024-07-29T09:00,0.2
2024-07-29T10:00,0.1
2024-07-29T11:00,0.1
2024-07-29T12:00,0.1
2024-07-29T13:00,0.3
2024-07-29T14:00,0.2
2024-07-29T15:00,0.6
